Time	trailing_price	Low	Weighted_Price_Average	High	close_price	N_Transactions	Volume	Bid_Index	Ask_Index	EMA_12	EMA_26	EMA_DIF	MACD	EMA_Up	EMA_Down	RSI	TSI	EMA_Volume	OBV_Delta
1510056434	7200.0	7193.0	7194.36	7202.78	7193.0	155	31.65197359	6953.01	7427.7	7200.557491	7197.509	4.36289	-1.314399	1.384852	1.764777	43.97	14.8	13.6815379	-31.65197359
1510056554	7193.0	7193.01	7199.11	7205.57	7203.85	124	19.01613589	6957.89	7434.25	7200.3348	7197.627593	4.031753	-1.324546	2.060934	1.638722	55.71	14.13	14.50224528	19.01613589
1510056674	7203.85	7193.06	7200.41	7206.42	7206.39	103	12.21334836	6956.14	7434.39	7200.346369	7197.833697	3.727937	-1.215265	2.095153	1.52167	57.93	14.41	14.15010729	12.21334836
1510056794	7206.39	7196.16	7204.78	7207.0	7206.08	77	9.53304852	6957.23	7431.83	7201.028466	7198.348238	3.518395	-0.838167	1.945499	1.435122	57.55	14.49	13.43979056	-9.53304852
1510056914	7206.08	7206.07	7217.65	7230.0	7214.88	210	52.42028015	6957.11	7432.87	7203.585625	7199.777998	3.576241	0.231386	2.435106	1.332613	64.63	17.08	19.43678896	52.42028015
1510057034	7214.88	7214.95	7221.62	7232.84	7229.0	148	38.08800632	6981.67	7460.34	7206.360144	7201.395924	3.853837	1.110383	3.269741	1.237426	72.55	22.68	22.30620702	38.08800632
1510057154	7229.0	7225.01	7225.62	7229.01	7225.01	84	19.20374275	6978.48	7456.0	7209.323199	7203.1903	4.309649	1.82325	3.036188	1.434038	67.92	25.18	21.82890482	-19.20374275
1510057274	7225.01	7219.0	7222.65	7225.02	7219.01	119	17.85204765	6975.67	7451.0	7211.373476	7204.631759	4.796063	1.945654	2.819317	1.760178	61.56	24.82	21.21708064	-17.85204765
1510057394	7219.01	7215.52	7215.98	7219.01	7215.99	73	15.56552114	6974.0	7446.14	7212.082172	7205.472369	5.158811	1.450992	2.617937	1.850165	58.59	23.48	20.34760995	-15.56552114
1510057514	7215.99	7215.98	7217.48	7226.26	7224.36	55	14.8578032	6973.67	7446.43	7212.912607	7206.361823	5.437206	1.113578	3.028799	1.71801	63.81	24.24	19.5030243	14.8578032
1510057634	7224.36	7217.42	7221.4	7224.36	7217.43	77	19.08542621	6978.18	7455.16	7214.21836	7207.475762	5.698284	1.044314	2.812456	2.090295	57.36	22.53	19.43877844	-19.08542621
1510057754	7217.43	7215.0	7215.13	7217.42	7215.01	78	15.86490349	6975.2	7445.03	7214.358612	7208.042743	5.821801	0.494068	2.611566	2.113845	55.27	20.49	18.88895152	-15.86490349
1510057874	7215.01	7215.0	7215.0	7215.01	7215.01	85	19.00500816	6974.4	7444.52	7214.457287	7208.558095	5.837279	0.061913	2.425026	1.962856	55.27	18.92	18.90680639	0.0
1510057994	7215.01	7201.87	7204.65	7215.01	7201.98	58	12.34083238	6959.98	7435.32	7212.948474	7208.268606	5.605797	-0.925929	2.25181	2.753366	44.99	13.85	17.89665654	-12.34083238
1510058114	7201.98	7200.0	7200.13	7201.5	7200.02	67	11.68011985	6956.84	7430.56	7210.976401	7207.665746	5.146769	-1.836114	2.090966	2.696697	43.67	9.45	16.94026628	-11.68011985
1510058234	7200.02	7185.0	7192.62	7200.02	7189.99	133	28.61333809	6953.68	7419.43	7208.152339	7206.551246	4.437634	-2.836541	1.941611	3.220504	37.61	3.48	18.73612348	-28.61333809
